id,digit
2049,1
2050,0
2051,3
2052,1
2053,1
2054,1
2055,1
2056,0
2057,3
2058,1
2059,1
2060,3
2061,3
2062,5
2063,3
2064,1
2065,1
2066,3
2067,3
2068,1
2069,1
2070,1
2071,1
2072,6
2073,3
2074,8
2075,1
2076,1
2077,1
2078,1
2079,1
2080,1
2081,6
2082,0
2083,3
2084,8
2085,3
2086,1
2087,1
2088,3
2089,3
2090,1
2091,8
2092,1
2093,3
2094,1
2095,0
2096,1
2097,1
2098,3
2099,8
2100,1
2101,1
2102,1
2103,6
2104,8
2105,3
2106,1
2107,1
2108,1
2109,6
2110,8
2111,6
2112,1
2113,1
2114,1
2115,1
2116,1
2117,1
2118,1
2119,1
2120,1
2121,1
2122,1
2123,1
2124,1
2125,3
2126,1
2127,1
2128,1
2129,3
2130,1
2131,3
2132,1
2133,1
2134,1
2135,1
2136,1
2137,3
2138,1
2139,1
2140,1
2141,3
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,3
2149,1
2150,0
2151,3
2152,3
2153,1
2154,8
2155,1
2156,3
2157,1
2158,1
2159,1
2160,1
2161,1
2162,1
2163,1
2164,1
2165,3
2166,3
2167,1
2168,1
2169,1
2170,1
2171,1
2172,8
2173,1
2174,5
2175,1
2176,1
2177,8
2178,0
2179,1
2180,3
2181,1
2182,1
2183,6
2184,1
2185,1
2186,1
2187,1
2188,1
2189,1
2190,1
2191,1
2192,1
2193,1
2194,3
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,3
2202,1
2203,1
2204,1
2205,1
2206,8
2207,1
2208,1
2209,1
2210,3
2211,1
2212,8
2213,3
2214,1
2215,3
2216,1
2217,0
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,3
2225,1
2226,1
2227,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,1
2239,3
2240,1
2241,1
2242,3
2243,6
2244,1
2245,1
2246,0
2247,1
2248,1
2249,1
2250,1
2251,3
2252,8
2253,8
2254,1
2255,6
2256,1
2257,8
2258,3
2259,3
2260,8
2261,1
2262,6
2263,3
2264,1
2265,1
2266,0
2267,8
2268,1
2269,1
2270,8
2271,1
2272,1
2273,1
2274,1
2275,1
2276,3
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,3
2285,9
2286,1
2287,1
