id,digit
2049,4
2050,9
2051,1
2052,4
2053,1
2054,0
2055,7
2056,7
2057,6
2058,4
2059,4
2060,5
2061,1
2062,6
2063,1
2064,0
2065,7
2066,6
2067,1
2068,6
2069,5
2070,5
2071,7
2072,6
2073,0
2074,5
2075,3
2076,3
2077,7
2078,6
2079,8
2080,7
2081,7
2082,6
2083,5
2084,3
2085,4
2086,6
2087,6
2088,4
2089,3
2090,1
2091,3
2092,3
2093,1
2094,4
2095,7
2096,6
2097,2
2098,1
2099,3
2100,4
2101,3
2102,4
2103,4
2104,5
2105,1
2106,5
2107,0
2108,9
2109,4
2110,4
2111,0
2112,4
2113,0
2114,4
2115,0
2116,5
2117,7
2118,3
2119,1
2120,5
2121,0
2122,3
2123,8
2124,4
2125,6
2126,7
2127,1
2128,0
2129,7
2130,8
2131,4
2132,4
2133,8
2134,7
2135,2
2136,2
2137,3
2138,0
2139,2
2140,5
2141,4
2142,3
2143,4
2144,8
2145,4
2146,3
2147,0
2148,4
2149,4
2150,5
2151,0
2152,7
2153,0
2154,8
2155,2
2156,3
2157,4
2158,2
2159,4
2160,2
2161,7
2162,6
2163,1
2164,6
2165,1
2166,6
2167,4
2168,0
2169,0
2170,7
2171,8
2172,8
2173,6
2174,6
2175,4
2176,5
2177,4
2178,1
2179,1
2180,5
2181,7
2182,6
2183,1
2184,7
2185,6
2186,3
2187,4
2188,3
2189,6
2190,4
2191,4
2192,5
2193,1
2194,6
2195,1
2196,8
2197,8
2198,8
2199,1
2200,9
2201,0
2202,1
2203,6
2204,1
2205,4
2206,9
2207,4
2208,5
2209,9
2210,2
2211,1
2212,4
2213,1
2214,4
2215,5
2216,3
2217,7
2218,3
2219,6
2220,4
2221,4
2222,1
2223,6
2224,4
2225,4
2226,7
2227,4
2228,9
2229,4
2230,0
2231,6
2232,0
2233,1
2234,4
2235,1
2236,4
2237,6
2238,6
2239,0
2240,5
2241,0
2242,9
2243,8
2244,8
2245,3
2246,0
2247,0
2248,9
2249,4
2250,3
2251,1
2252,1
2253,2
2254,6
2255,0
2256,4
2257,5
2258,9
2259,4
2260,6
2261,7
2262,2
2263,4
2264,4
2265,1
2266,0
2267,0
2268,4
2269,5
2270,2
2271,6
2272,9
2273,4
2274,4
2275,4
2276,1
2277,6
2278,7
2279,7
2280,4
2281,6
2282,7
2283,4
2284,4
2285,0
2286,7
2287,7
2288,4
2289,1
2290,8
2291,5
2292,1
2293,3
2294,7
2295,0
2296,0
2297,4
2298,3
2299,4
2300,7
2301,4
2302,8
2303,4
2304,6
2305,0
2306,3
2307,7
2308,8
2309,4
2310,4
2311,1
2312,9
2313,6
2314,4
2315,9
2316,4
2317,6
2318,7
2319,2
2320,5
2321,1
2322,4
2323,7
2324,4
2325,4
2326,3
2327,1
2328,3
2329,4
2330,6
2331,3
2332,1
2333,8
2334,9
2335,1
2336,7
2337,2
2338,2
2339,6
2340,1
2341,6
2342,6
2343,8
2344,4
2345,2
2346,8
2347,1
2348,5
2349,2
2350,2
2351,1
2352,0
2353,4
2354,0
2355,5
2356,0
2357,0
2358,4
2359,5
2360,4
2361,6
2362,9
2363,7
2364,2
2365,7
2366,0
2367,2
2368,4
2369,6
2370,1
2371,1
2372,1
2373,4
2374,9
2375,5
2376,4
2377,2
2378,4
2379,7
2380,9
2381,4
2382,7
2383,0
2384,0
2385,1
2386,4
2387,2
2388,1
2389,4
2390,1
2391,4
2392,4
2393,7
2394,4
2395,5
2396,7
2397,1
2398,4
2399,0
